stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station
030950,030950,Via Galeso,VIA GALESO n.98,40.489828,17.231587,030950,0,
030960,030960,Via N. Macchiavelli,VIA N. MACCHIAVELLI (fr. n. 50),40.489098,17.227037,030960,0,
030970,030970,Via N. Macchiavelli,VIA N. MACCHIAVELLI  (fr. case park),40.488788,17.224957,030970,0,
030980,030980,Via Galeso,VIA GALESO  (scuola el. Giusti),40.488678,17.229907,030980,0,
030990,030990,Via Macchiavelli,VIA N. MACCHIAVELLI (case park),40.488638,17.225307,030990,0,
031000,031000,Via Orsini,VIA R.ORSINI (P.zza Mons. Russo),40.488028,17.227627,031000,0,
031010,031010,Via Galeso,VIA GALESO n.66,40.488378,17.229777,031010,0,
031020,031020,Via R. Orsini,VIA R. ORSINI n. 67,40.488028,17.227457,031020,0,
031030,031030,Via N. Machiavelli,VIA N. MACCHIAVELLI  (Distributore Eni),40.487318,17.222007,031030,0,
031040,031040,San Brunone (angolo via Machiavelli),San Brunone (angolo via Machiavelli),40.487558,17.221287,031040,0,
031060,031060,SS.7 Appia,SS.7 APPIA  (fr. ditta Albanese De Pace),40.490880,17.209895,031060,0,
031070,031070,Via N. Macchiavelli,VIA N. MACCHIAVE (fr. distr. Eni),40.487428,17.222497,031070,0,
031080,031080,Orsini - 30,Orsini - 30,40.487206,17.227424,031080,0,
031090,031090,Via Galeso,VIA GALESO n.21,40.487218,17.228227,031090,0,
031100,031100,Via Galeso,VIA GALESO n.14,40.486768,17.227947,031100,0,
